transactionreference,paymenttypedescription,transactionstartedtimestamp,currencyiso3a,mainamount,settlemainamount,settledtimestamp,settlestatus,errorcode,accounttypedescription,requesttypedescription
23-9-80070,VISA,2016-09-04 15:19:52,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80076,VISA,2016-09-03 12:35:06,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80077,VISA,2016-09-03 00:46:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80079,VISA,2016-09-06 10:42:03,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80081,VISA,2016-09-04 07:17:15,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80085,VISA,2016-09-03 19:32:04,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80086,VISA,2016-09-04 15:40:14,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80088,VISA,2016-09-06 06:36:50,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80092,VISA,2016-09-04 22:34:31,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80093,VISA,2016-09-03 03:02:22,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80095,VISA,2016-09-03 05:27:29,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80100,VISA,2016-09-04 22:02:04,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80105,VISA,2016-09-04 11:32:59,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80107,VISA,2016-09-05 05:58:39,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80114,VISA,2016-09-06 06:22:36,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80115,VISA,2016-09-03 02:25:55,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80117,VISA,2016-09-03 11:14:08,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80118,VISA,2016-09-06 08:32:17,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80119,VISA,2016-09-03 14:35:29,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80120,VISA,2016-09-03 09:10:36,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80121,VISA,2016-09-04 03:27:08,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80124,VISA,2016-09-05 18:40:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80125,VISA,2016-09-04 01:27:16,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80127,VISA,2016-09-04 00:48:34,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80128,VISA,2016-09-03 15:35:13,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80129,VISA,2016-09-05 16:41:54,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80131,VISA,2016-09-04 03:16:04,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80132,VISA,2016-09-06 21:55:41,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80133,VISA,2016-09-03 10:29:43,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80134,VISA,2016-09-05 14:59:25,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80136,VISA,2016-09-06 01:10:02,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80137,VISA,2016-09-03 10:28:30,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80138,VISA,2016-09-06 16:07:49,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80139,VISA,2016-09-03 06:38:07,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80142,VISA,2016-09-03 13:54:59,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80144,VISA,2016-09-06 15:17:33,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80147,VISA,2016-09-05 21:16:05,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80149,VISA,2016-09-03 02:23:33,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80153,VISA,2016-09-03 06:17:55,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80157,VISA,2016-09-03 12:15:33,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80158,VISA,2016-09-03 00:16:24,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80159,VISA,2016-09-05 21:24:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80160,VISA,2016-09-06 19:06:06,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80163,VISA,2016-09-06 14:54:28,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80166,VISA,2016-09-03 05:41:42,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80167,VISA,2016-09-03 21:20:01,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80168,VISA,2016-09-04 12:29:10,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80169,VISA,2016-09-05 19:53:46,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80173,VISA,2016-09-06 20:38:48,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80174,VISA,2016-09-03 02:34:13,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80175,VISA,2016-09-05 14:48:02,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80176,VISA,2016-09-06 07:20:29,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80177,VISA,2016-09-05 00:52:59,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80180,VISA,2016-09-06 15:11:26,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80182,VISA,2016-09-06 02:10:47,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80184,VISA,2016-09-03 17:40:28,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80186,VISA,2016-09-05 01:26:27,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80187,VISA,2016-09-05 03:22:11,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80189,VISA,2016-09-03 12:47:05,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80193,VISA,2016-09-04 13:25:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80195,VISA,2016-09-06 09:40:35,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80196,VISA,2016-09-03 06:37:41,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80200,VISA,2016-09-05 00:19:01,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80202,VISA,2016-09-05 09:02:20,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80205,VISA,2016-09-04 02:32:13,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80207,VISA,2016-09-04 06:39:41,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80211,VISA,2016-09-05 05:32:06,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80212,VISA,2016-09-05 14:57:16,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80215,VISA,2016-09-05 05:22:43,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80216,VISA,2016-09-05 11:19:41,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80217,VISA,2016-09-05 09:52:21,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80218,VISA,2016-09-05 21:03:46,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80219,VISA,2016-09-04 12:17:11,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80221,VISA,2016-09-03 21:03:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80226,VISA,2016-09-03 13:21:38,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80228,VISA,2016-09-03 20:27:30,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80229,VISA,2016-09-04 01:18:31,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80230,VISA,2016-09-04 15:58:15,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80232,VISA,2016-09-03 14:23:03,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80235,VISA,2016-09-03 12:45:53,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80243,VISA,2016-09-06 12:38:34,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80244,VISA,2016-09-03 11:06:44,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80245,VISA,2016-09-06 00:18:18,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80248,VISA,2016-09-06 22:13:11,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80250,VISA,2016-09-03 11:02:35,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80253,VISA,2016-09-06 08:55:05,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80254,VISA,2016-09-03 09:55:44,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80255,VISA,2016-09-03 08:36:29,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80256,VISA,2016-09-05 13:15:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80258,VISA,2016-09-05 13:10:22,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80259,VISA,2016-09-06 21:28:50,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80265,VISA,2016-09-06 17:57:34,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80266,VISA,2016-09-06 18:49:22,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80267,VISA,2016-09-03 05:19:42,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80269,VISA,2016-09-04 09:48:43,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80273,VISA,2016-09-05 01:43:51,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80278,VISA,2016-09-03 01:32:55,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80279,VISA,2016-09-03 20:50:22,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80280,VISA,2016-09-05 17:51:19,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80282,VISA,2016-09-06 01:17:57,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80283,VISA,2016-09-05 13:30:40,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80286,VISA,2016-09-03 13:20:53,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80287,VISA,2016-09-05 00:31:38,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80289,VISA,2016-09-05 00:57:04,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80290,VISA,2016-09-06 08:29:23,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80292,VISA,2016-09-03 10:09:01,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80294,VISA,2016-09-05 12:31:16,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80295,VISA,2016-09-05 05:26:47,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80296,VISA,2016-09-05 23:14:25,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80298,VISA,2016-09-03 23:58:13,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80300,VISA,2016-09-04 13:05:48,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80301,VISA,2016-09-03 02:43:50,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80303,VISA,2016-09-04 20:34:48,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80304,VISA,2016-09-05 00:11:03,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80306,VISA,2016-09-05 07:22:08,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80307,VISA,2016-09-06 19:36:43,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80310,VISA,2016-09-04 18:40:33,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80313,VISA,2016-09-04 19:12:39,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80315,VISA,2016-09-04 13:25:13,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80317,VISA,2016-09-04 15:48:03,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80318,VISA,2016-09-06 09:29:58,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80319,VISA,2016-09-05 19:04:12,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80320,VISA,2016-09-06 17:35:05,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80321,VISA,2016-09-04 12:42:15,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80324,VISA,2016-09-06 01:19:27,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80325,VISA,2016-09-06 15:42:21,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80327,VISA,2016-09-04 17:03:37,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80330,VISA,2016-09-03 16:41:38,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80331,VISA,2016-09-03 21:32:13,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80334,VISA,2016-09-03 07:30:31,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80336,VISA,2016-09-04 21:49:46,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80337,VISA,2016-09-04 06:42:35,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80341,VISA,2016-09-05 10:20:03,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80346,VISA,2016-09-04 18:58:10,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80349,VISA,2016-09-04 09:35:35,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80354,VISA,2016-09-05 20:02:07,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80356,VISA,2016-09-05 22:43:13,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80359,VISA,2016-09-03 01:07:06,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80363,VISA,2016-09-04 13:01:26,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80365,VISA,2016-09-05 07:54:02,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80368,VISA,2016-09-05 14:42:11,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80370,VISA,2016-09-03 19:52:02,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80372,VISA,2016-09-03 19:23:05,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80374,VISA,2016-09-05 00:05:03,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80375,VISA,2016-09-04 13:25:27,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80379,VISA,2016-09-03 04:14:23,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80380,VISA,2016-09-05 23:55:52,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80382,VISA,2016-09-05 08:17:51,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80385,VISA,2016-09-04 23:37:51,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80386,VISA,2016-09-03 03:44:30,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80387,VISA,2016-09-06 14:03:43,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80390,VISA,2016-09-06 01:28:02,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80391,VISA,2016-09-04 11:53:01,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80393,VISA,2016-09-04 00:13:05,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80394,VISA,2016-09-06 19:17:34,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80398,VISA,2016-09-06 18:24:35,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80400,VISA,2016-09-04 09:36:17,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80405,VISA,2016-09-03 16:52:43,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80408,VISA,2016-09-04 15:17:13,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80409,VISA,2016-09-05 17:56:32,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80411,VISA,2016-09-03 08:05:30,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80414,VISA,2016-09-06 06:44:04,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80421,VISA,2016-09-05 01:03:45,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80422,VISA,2016-09-05 00:21:27,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80423,VISA,2016-09-05 09:23:25,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80425,VISA,2016-09-06 21:30:37,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80428,VISA,2016-09-04 22:28:05,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80432,VISA,2016-09-03 20:37:37,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80433,VISA,2016-09-06 20:37:34,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80436,VISA,2016-09-05 17:44:19,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80438,VISA,2016-09-03 10:16:01,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80441,VISA,2016-09-06 16:57:38,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80450,VISA,2016-09-03 05:59:13,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80451,VISA,2016-09-05 12:46:06,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80452,VISA,2016-09-04 04:02:38,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80458,VISA,2016-09-06 01:13:51,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80464,VISA,2016-09-06 20:06:02,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80475,VISA,2016-09-04 09:35:56,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80478,VISA,2016-09-06 13:31:07,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80481,VISA,2016-09-04 04:48:56,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80484,VISA,2016-09-06 11:14:48,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80489,VISA,2016-09-05 15:36:20,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80490,VISA,2016-09-06 13:59:48,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80491,VISA,2016-09-03 23:22:26,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80493,VISA,2016-09-03 13:08:20,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80495,VISA,2016-09-03 20:09:53,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80499,VISA,2016-09-05 14:05:43,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
23-9-80500,VISA,2016-09-05 13:18:14,GBP,55.42,55.42,2016-09-06 09:43:41,100,0,ECOM,REFUND
