transactionreference,paymenttypedescription,transactionstartedtimestamp,currencyiso3a,mainamount,settlemainamount,settledtimestamp,settlestatus,errorcode,accounttypedescription,requesttypedescription
23-9-80069,VISA,2016-06-10 06:37:43,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80070,VISA,2016-06-09 08:34:24,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80071,VISA,2016-06-13 10:03:03,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80072,VISA,2016-06-11 01:46:03,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80073,VISA,2016-07-08 12:41:31,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80074,VISA,2016-07-20 11:13:10,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80075,VISA,2016-07-02 07:01:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80076,VISA,2016-06-20 11:59:32,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80077,VISA,2016-06-22 04:50:24,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80078,VISA,2016-06-20 08:09:38,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80079,VISA,2016-06-19 04:50:25,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80080,VISA,2016-06-13 02:43:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80081,VISA,2016-07-04 05:15:51,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80082,VISA,2016-06-13 12:02:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80083,VISA,2016-06-13 06:40:59,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80084,VISA,2016-06-18 09:06:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80085,VISA,2016-07-12 12:34:50,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80086,VISA,2016-06-03 06:31:39,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80087,VISA,2016-06-04 05:49:42,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80088,VISA,2016-07-16 08:20:49,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80089,VISA,2016-07-08 11:11:50,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80090,VISA,2016-06-17 07:01:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80091,VISA,2016-07-20 11:05:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80092,VISA,2016-06-20 03:38:55,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80093,VISA,2016-07-21 06:33:52,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80094,VISA,2016-06-11 11:49:01,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80095,VISA,2016-06-04 02:26:34,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80096,VISA,2016-07-15 09:16:15,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80097,VISA,2016-06-13 11:46:44,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80099,VISA,2016-06-05 10:02:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80100,VISA,2016-07-15 10:38:22,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80101,VISA,2016-07-08 09:21:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80102,VISA,2016-07-16 10:39:25,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80103,VISA,2016-06-18 05:45:48,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80104,VISA,2016-07-01 03:59:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80105,VISA,2016-07-08 01:20:24,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80107,VISA,2016-06-19 12:11:29,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80108,VISA,2016-06-16 11:44:40,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80109,VISA,2016-06-14 07:01:24,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80110,VISA,2016-06-02 06:37:45,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80111,VISA,2016-07-16 09:47:17,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80112,VISA,2016-07-04 07:30:15,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80113,VISA,2016-06-11 05:26:32,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80114,VISA,2016-07-01 10:57:46,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80115,VISA,2016-07-15 04:41:16,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80116,VISA,2016-06-07 04:07:39,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80117,VISA,2016-06-12 04:18:04,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80118,VISA,2016-06-05 08:02:21,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80120,VISA,2016-06-11 03:17:39,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80121,VISA,2016-07-18 03:19:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80122,VISA,2016-06-13 09:20:25,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80123,VISA,2016-06-03 03:01:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80124,VISA,2016-06-05 02:36:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80125,VISA,2016-07-07 06:45:45,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80126,VISA,2016-06-21 03:04:35,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80127,VISA,2016-06-02 03:18:40,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80128,VISA,2016-07-13 05:49:32,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80129,VISA,2016-06-20 10:10:35,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80130,VISA,2016-06-04 04:44:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80131,VISA,2016-07-15 03:25:22,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80132,VISA,2016-07-14 02:01:14,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80133,VISA,2016-06-17 05:01:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80134,VISA,2016-06-14 05:16:17,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80135,VISA,2016-06-10 03:28:50,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80136,VISA,2016-07-08 05:06:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80137,VISA,2016-07-06 05:42:21,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80138,VISA,2016-06-14 05:56:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80140,VISA,2016-06-22 12:40:38,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80141,VISA,2016-06-06 01:14:23,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80142,VISA,2016-07-12 10:32:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80143,VISA,2016-06-05 09:12:43,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80144,VISA,2016-07-18 02:49:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80145,VISA,2016-06-05 12:36:42,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80146,VISA,2016-07-10 03:13:48,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80148,VISA,2016-07-14 08:33:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80149,VISA,2016-07-17 03:26:23,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80150,VISA,2016-07-02 07:47:36,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80151,VISA,2016-07-17 10:13:25,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80152,VISA,2016-06-05 01:10:53,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80153,VISA,2016-07-16 06:18:56,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80154,VISA,2016-06-20 01:19:35,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80155,VISA,2016-06-18 06:40:37,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80156,VISA,2016-07-18 06:45:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80157,VISA,2016-07-05 01:18:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80158,VISA,2016-07-06 12:51:01,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80159,VISA,2016-06-05 12:54:54,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80161,VISA,2016-06-03 09:59:03,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80162,VISA,2016-06-15 06:31:15,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80164,VISA,2016-06-01 10:35:51,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80165,VISA,2016-06-19 08:28:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80166,VISA,2016-07-20 11:17:52,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80167,VISA,2016-06-03 09:55:43,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80168,VISA,2016-07-04 06:01:14,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80169,VISA,2016-06-18 04:31:46,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80170,VISA,2016-06-01 06:18:53,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80172,VISA,2016-06-23 08:03:43,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80173,VISA,2016-06-10 05:33:06,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80174,VISA,2016-07-07 02:12:29,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80175,VISA,2016-06-19 07:34:04,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80176,VISA,2016-06-19 05:03:09,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80177,VISA,2016-07-02 11:04:39,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80178,VISA,2016-06-11 05:03:29,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80179,VISA,2016-07-03 11:37:53,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80180,VISA,2016-06-11 01:36:56,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80181,VISA,2016-06-03 12:21:30,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80182,VISA,2016-07-15 04:49:13,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80183,VISA,2016-06-20 07:25:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80184,VISA,2016-06-07 02:49:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80186,VISA,2016-07-19 02:56:02,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80187,VISA,2016-06-07 03:21:20,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80188,VISA,2016-06-04 06:11:13,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80189,VISA,2016-06-19 04:30:08,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80190,VISA,2016-07-15 07:02:03,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80191,VISA,2016-07-16 08:14:18,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80192,VISA,2016-07-18 12:38:54,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80193,VISA,2016-07-07 05:36:30,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80194,VISA,2016-07-14 03:16:11,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80195,VISA,2016-06-16 05:38:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80196,VISA,2016-06-14 06:55:05,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80197,VISA,2016-06-01 02:47:04,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80198,VISA,2016-06-22 10:40:49,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80199,VISA,2016-07-11 04:19:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80200,VISA,2016-07-01 10:01:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80201,VISA,2016-06-08 04:30:59,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80202,VISA,2016-06-13 02:40:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80204,VISA,2016-07-07 10:33:20,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80205,VISA,2016-06-15 02:45:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80206,VISA,2016-07-14 10:21:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80207,VISA,2016-07-21 08:25:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80208,VISA,2016-06-14 04:05:08,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80209,VISA,2016-07-18 09:45:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80210,VISA,2016-07-11 08:52:39,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80211,VISA,2016-07-08 02:46:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80212,VISA,2016-07-04 02:51:08,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80213,VISA,2016-07-12 01:21:11,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80214,VISA,2016-07-04 10:23:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80215,VISA,2016-07-18 07:42:24,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80216,VISA,2016-07-05 07:30:10,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80217,VISA,2016-06-16 02:52:16,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80218,VISA,2016-06-15 04:38:45,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80219,VISA,2016-06-13 03:12:52,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80220,VISA,2016-06-21 03:21:55,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80221,VISA,2016-06-05 10:34:37,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80222,VISA,2016-07-20 06:29:46,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80223,VISA,2016-07-05 10:07:59,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80224,VISA,2016-06-10 05:50:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80226,VISA,2016-06-21 07:17:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80227,VISA,2016-07-04 03:04:36,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80228,VISA,2016-07-13 01:37:11,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80229,VISA,2016-06-13 03:10:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80230,VISA,2016-06-06 05:25:13,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80231,VISA,2016-06-14 07:09:08,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80232,VISA,2016-07-17 03:36:16,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80233,VISA,2016-06-09 09:26:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80234,VISA,2016-07-20 03:41:30,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80235,VISA,2016-07-17 07:11:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80236,VISA,2016-06-14 06:20:06,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80237,VISA,2016-07-13 10:08:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80238,VISA,2016-07-21 03:14:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80239,VISA,2016-06-01 05:11:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80240,VISA,2016-07-15 01:10:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80241,VISA,2016-06-11 12:17:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80242,VISA,2016-06-05 06:21:08,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80243,VISA,2016-07-20 10:43:29,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80244,VISA,2016-06-02 03:51:18,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80245,VISA,2016-06-04 10:32:36,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80246,VISA,2016-07-02 06:42:56,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80247,VISA,2016-06-18 11:26:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80248,VISA,2016-07-13 12:09:13,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80249,VISA,2016-06-02 01:08:40,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80250,VISA,2016-07-05 07:14:23,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80251,VISA,2016-06-11 03:45:30,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80252,VISA,2016-07-06 08:27:04,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80253,VISA,2016-07-17 01:33:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80254,VISA,2016-07-04 12:56:18,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80255,VISA,2016-06-14 10:27:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80256,VISA,2016-06-14 09:39:40,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80257,VISA,2016-06-09 10:56:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80258,VISA,2016-06-21 04:10:53,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80259,VISA,2016-06-05 03:09:40,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80260,VISA,2016-06-17 08:10:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80261,VISA,2016-06-05 08:02:06,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80262,VISA,2016-07-03 07:37:21,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80263,VISA,2016-07-14 03:12:46,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80264,VISA,2016-07-02 06:23:20,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80265,VISA,2016-07-17 03:56:59,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80266,VISA,2016-06-17 08:26:34,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80267,VISA,2016-07-15 10:37:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80268,VISA,2016-07-07 10:04:05,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80269,VISA,2016-07-16 01:43:03,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80270,VISA,2016-07-14 02:25:56,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80271,VISA,2016-06-20 08:05:51,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80272,VISA,2016-06-17 12:12:59,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80273,VISA,2016-07-18 08:22:01,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80274,VISA,2016-07-19 01:34:51,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80275,VISA,2016-07-13 03:37:57,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80276,VISA,2016-06-06 07:10:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80277,VISA,2016-06-15 01:05:38,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80278,VISA,2016-06-13 06:24:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80279,VISA,2016-07-06 05:33:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80280,VISA,2016-06-19 05:34:18,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80281,VISA,2016-07-05 05:09:04,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80282,VISA,2016-07-06 12:38:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80283,VISA,2016-06-09 10:46:17,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80284,VISA,2016-06-04 08:39:05,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80285,VISA,2016-07-09 01:40:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80286,VISA,2016-06-04 09:32:30,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80287,VISA,2016-06-07 11:48:53,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80288,VISA,2016-06-17 05:59:31,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80289,VISA,2016-07-09 12:27:19,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80290,VISA,2016-06-14 06:31:15,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80291,VISA,2016-06-22 08:06:44,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80292,VISA,2016-06-19 03:52:06,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80293,VISA,2016-06-06 11:44:03,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80294,VISA,2016-07-19 01:34:13,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80295,VISA,2016-07-20 10:49:06,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80296,VISA,2016-06-18 05:28:52,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80297,VISA,2016-07-14 11:28:23,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80298,VISA,2016-06-20 07:12:54,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80299,VISA,2016-06-15 02:38:47,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80300,VISA,2016-06-09 12:18:38,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80301,VISA,2016-06-19 10:08:02,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80302,VISA,2016-07-21 08:40:23,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80303,VISA,2016-06-19 10:41:43,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80304,VISA,2016-07-10 04:58:15,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80305,VISA,2016-06-07 11:36:08,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80306,VISA,2016-07-07 07:20:20,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80307,VISA,2016-07-14 05:21:09,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80308,VISA,2016-07-12 07:34:29,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80309,VISA,2016-06-15 10:23:48,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80310,VISA,2016-06-03 10:49:22,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80311,VISA,2016-06-04 05:48:23,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80312,VISA,2016-07-20 09:46:41,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80313,VISA,2016-07-08 10:35:24,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80314,VISA,2016-06-14 07:01:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80315,VISA,2016-07-02 02:08:52,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80316,VISA,2016-07-10 02:18:25,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80317,VISA,2016-07-09 01:46:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80318,VISA,2016-07-15 11:07:34,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80319,VISA,2016-06-06 10:24:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80320,VISA,2016-06-08 05:30:06,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80321,VISA,2016-07-05 08:17:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80322,VISA,2016-06-11 08:28:13,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80323,VISA,2016-07-21 04:46:28,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80324,VISA,2016-06-06 06:23:57,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80325,VISA,2016-07-15 05:18:10,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80326,VISA,2016-07-15 06:53:50,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80327,VISA,2016-07-10 10:44:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80328,VISA,2016-06-02 01:59:14,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80329,VISA,2016-06-20 02:11:21,GBP,1.00,1.00,,1,0,ECOM,AUTH
